        antecedents     consequents  antecedent support  consequent support   support  confidence      lift  representativity  leverage  conviction  zhangs_metric   jaccard  certainty  kulczynski
65         (x3, x8)            (x7)            0.494253            0.549425  0.429885    0.869767  1.583050               1.0  0.158330    3.459770       0.728245  0.700375   0.710963    0.826097
66         (x7, x3)            (x8)            0.462069            0.556322  0.429885    0.930348  1.672320               1.0  0.172826    6.369951       0.747360  0.730469   0.843013    0.851538
67             (x8)        (x7, x3)            0.556322            0.462069  0.429885    0.772727  1.672320               1.0  0.172826    2.366897       0.906126  0.730469   0.577506    0.851538
68             (x7)        (x3, x8)            0.549425            0.494253  0.429885    0.782427  1.583050               1.0  0.158330    2.324492       0.817418  0.700375   0.569798    0.826097
69             (x3)        (x7, x8)            0.581609            0.482759  0.429885    0.739130  1.531056               1.0  0.149108    1.982759       0.829024  0.677536   0.495652    0.814803
70         (x9, x7)            (x3)            0.418391            0.581609  0.370115    0.884615  1.520979               1.0  0.126775    3.626054       0.588933  0.587591   0.724218    0.760490
71         (x9, x3)            (x7)            0.413793            0.549425  0.370115    0.894444  1.627964               1.0  0.142767    4.268603       0.658020  0.624031   0.765731    0.784042
72         (x7, x3)            (x9)            0.462069            0.475862  0.370115    0.800995  1.683250               1.0  0.150234    2.633793       0.754579  0.651822   0.620319    0.789386
73             (x9)        (x7, x3)            0.475862            0.462069  0.370115    0.777778  1.683250               1.0  0.150234    2.420690       0.774436  0.651822   0.586895    0.789386
74             (x7)        (x9, x3)            0.549425            0.413793  0.370115    0.673640  1.627964               1.0  0.142767    1.796198       0.856097  0.624031   0.443269    0.784042
75             (x3)        (x9, x7)            0.581609            0.418391  0.370115    0.636364  1.520979               1.0  0.126775    1.599425       0.818681  0.587591   0.374775    0.760490
76        (x16, x7)            (x3)            0.395402            0.581609  0.321839    0.813953  1.399485               1.0  0.091869    2.248851       0.472135  0.491228   0.555328    0.683657
77        (x16, x3)            (x7)            0.397701            0.549425  0.321839    0.809249  1.472900               1.0  0.103332    2.362104       0.533070  0.514706   0.576649    0.697511
78         (x7, x3)           (x16)            0.462069            0.618391  0.321839    0.696517  1.126339               1.0  0.036100    1.257434       0.208516  0.424242   0.204729    0.608482
79         (x9, x8)            (x3)            0.441379            0.581609  0.393103    0.890625  1.531312               1.0  0.136393    3.825287       0.621110  0.624088   0.738582    0.783257
80         (x9, x3)            (x8)            0.413793            0.556322  0.393103    0.950000  1.707645               1.0  0.162901    8.873563       0.706914  0.681275   0.887306    0.828306
81         (x3, x8)            (x9)            0.494253            0.475862  0.393103    0.795349  1.671385               1.0  0.157907    2.561129       0.794258  0.681275   0.609547    0.810718
82             (x9)        (x3, x8)            0.475862            0.494253  0.393103    0.826087  1.671385               1.0  0.157907    2.908046       0.766390  0.681275   0.656126    0.810718
83             (x8)        (x9, x3)            0.556322            0.413793  0.393103    0.706612  1.707645               1.0  0.162901    1.998057       0.934006  0.681275   0.499514    0.828306
84             (x3)        (x9, x8)            0.581609            0.441379  0.393103    0.675889  1.531312               1.0  0.136393    1.723549       0.829285  0.624088   0.419802    0.783257
85        (x15, x8)            (x3)            0.347126            0.581609  0.317241    0.913907  1.571343               1.0  0.115349    4.859770       0.556925  0.518797   0.794229    0.729681
86         (x3, x8)           (x15)            0.494253            0.400000  0.317241    0.641860  1.604651               1.0  0.119540    1.675325       0.745059  0.549801   0.403101    0.717482
87        (x15, x3)            (x8)            0.347126            0.556322  0.317241    0.913907  1.642767               1.0  0.124127    5.153492       0.599306  0.541176   0.805957    0.742078
88            (x15)        (x3, x8)            0.400000            0.494253  0.317241    0.793103  1.604651               1.0  0.119540    2.444444       0.628019  0.549801   0.590909    0.717482
89        (x16, x8)            (x3)            0.386207            0.581609  0.342529    0.886905  1.524915               1.0  0.117907    3.699456       0.560817  0.547794   0.729690    0.737919
90        (x16, x3)            (x8)            0.397701            0.556322  0.342529    0.861272  1.548154               1.0  0.121279    3.198180       0.587863  0.560150   0.687322    0.738487
91         (x3, x8)           (x16)            0.494253            0.618391  0.342529    0.693023  1.120688               1.0  0.036887    1.243121       0.212935  0.444776   0.195573    0.623463
92             (x8)       (x16, x3)            0.556322            0.397701  0.342529    0.615702  1.548154               1.0  0.121279    1.567272       0.798032  0.560150   0.361949    0.738487
93         (x4, x5)            (x6)            0.386207            0.625287  0.358621    0.928571  1.485032               1.0  0.117130    5.245977       0.532123  0.549296   0.809378    0.751050
94         (x5, x6)            (x4)            0.452874            0.406897  0.358621    0.791878  1.946141               1.0  0.174348    2.849790       0.888575  0.715596   0.649097    0.836617
95         (x4, x6)            (x5)            0.367816            0.487356  0.358621    0.975000  2.000590               1.0  0.179363   20.505747       0.791142  0.722222   0.951233    0.855425
96             (x5)        (x4, x6)            0.487356            0.367816  0.358621    0.735849  2.000590               1.0  0.179363    2.393268       0.975624  0.722222   0.582161    0.855425
